800.000000	-63859.460124
810.000000	-64476.344898
820.000000	-65097.217155
830.000000	-65722.038879
840.000000	-66350.774350
850.000000	-66983.390001
860.000000	-67619.854304
870.000000	-68260.137660
880.000000	-68904.212295
890.000000	-69552.052178
900.000000	-70203.632934
910.000000	-70858.931774
920.000000	-71517.927423
930.000000	-72180.600062
940.000000	-72846.932821
950.000000	-73516.893912
960.000000	-74190.454767
970.000000	-74867.586219
980.000000	-75548.261024
990.000000	-76232.453741
1000.000000	-76920.140615
1010.000000	-77611.299480
1020.000000	-78305.909673
1030.000000	-79003.951962
1040.000000	-79705.408479
1050.000000	-80410.262667
1060.000000	-81118.499230
1070.000000	-81830.104099
1080.000000	-82545.064394
1090.000000	-83263.368405
1100.000000	-83985.005568
1110.000000	-84709.966458
1120.000000	-85438.242781
1130.000000	-86169.827378
1140.000000	-86904.714234
1150.000000	-87642.898492
1160.000000	-88384.376482
1170.000000	-89129.145752
1180.000000	-89877.205116
1180.000000	-89877.205116
1190.000000	-90628.554707
1200.000000	-91383.196050
1210.000000	-92141.132146
1220.000000	-92902.367579
1230.000000	-93666.908643
1240.000000	-94434.763496
1250.000000	-95205.942356
1251.683717	-95336.114880
1251.683717	-95336.114880
1260.000000	-96058.376821
1270.000000	-96929.504562
1280.000000	-97803.520047
1290.000000	-98680.435630
1300.000000	-99560.266565
1310.000000	-100443.030950
1320.000000	-101328.749680
1330.000000	-102217.446360
1340.000000	-103109.147290
1350.000000	-104003.881320
1360.000000	-104901.679840
1370.000000	-105802.576640
1380.000000	-106706.607790
1390.000000	-107613.811550
1400.000000	-108524.228170
1410.000000	-109437.899740
1420.000000	-110354.869940
1430.000000	-111275.183840
1440.000000	-112198.887550
1450.000000	-113126.027940
1460.000000	-114056.652260
1464.141537	-114443.105070
1464.141537	-114443.105070
1470.000000	-114826.799570
1480.000000	-115173.310180
1490.000000	-114818.509160
1500.000000	-115679.209060
1510.000000	-116542.236980
1520.000000	-117407.577340
1530.000000	-118275.215770
1540.000000	-119520.913670
1550.000000	-120017.333620
1560.000000	-120891.788030
1570.000000	-121768.490220
1580.000000	-122647.428780
1590.000000	-123528.592580
1600.000000	-124411.970820
1610.000000	-125297.552900
1620.000000	-126185.328470
1630.000000	-127075.287380
1640.000000	-127971.159290
1650.000000	-128861.715550
1660.000000	-129758.165400
1670.000000	-130656.759750
1680.000000	-131557.489300
1690.000000	-132460.344860
1700.000000	-133365.317400
1710.000000	-134272.398020
1720.000000	-135181.577940
1730.000000	-136092.848420
1740.000000	-136665.710660
1750.000000	-137921.630240
1760.000000	-138839.127690
1770.000000	-139758.690740
1780.000000	-140680.305300
1790.000000	-141603.969710
1800.000000	-142529.678360
